jetty-security,9.3.24.v20180605,"Apache 2.0,Eclipse Public License - Version 1.0",Approved,"http://www.apache.org/licenses/LICENSE-2.0.txt,","",""
jetty-servlet,9.3.24.v20180605,"Apache 2.0,Eclipse Public License - Version 1.0",Approved,"http://www.apache.org/licenses/LICENSE-2.0.txt,","",""
jetty-util,9.3.24.v20180605,"Apache 2.0,Eclipse Public License - Version 1.0",Approved,"http://www.apache.org/licenses/LICENSE-2.0.txt,","",""
jetty-webapp,9.3.24.v20180605,"Apache 2.0,Eclipse Public License - Version 1.0",Approved,"http://www.apache.org/licenses/LICENSE-2.0.txt,","",""
jetty-xml,9.3.24.v20180605,"Apache 2.0,Eclipse Public License - Version 1.0",Approved,"http://www.apache.org/licenses/LICENSE-2.0.txt,","",""
jinjava,2.5.4,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
joda-convert,2.2.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
joda-time,2.10.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
json,20160212,The JSON License,Approved,"","",""
json4s-ast_2.12,3.5.3,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
json4s-core_2.12,3.5.3,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
json4s-jackson_2.12,3.5.3,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
json4s-scalap_2.12,3.5.3,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
json-smart,2.3,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jsoup,1.10.3,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
jsp-api,2.1,CDDL+GPL License,Approved,"","",""
jsr305,1.3.9,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jsr311-api,1.1.1,CDDL License,Approved,"","",""
jtransforms,2.4.0,"GPL,LGPL,MPL",Approved,",http://www.gnu.org/licenses/lgpl.txt,","",""
jul-to-slf4j,1.7.16,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
kerb-admin,1.0.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
kerb-client,1.0.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
kerb-common,1.0.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
kerb-core,1.0.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
kerb-crypto,1.0.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
kerb-identity,1.0.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
kerb-server,1.0.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
kerb-simplekdc,1.0.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
kerb-util,1.0.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
kerby-asn1,1.0.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
kerby-config,1.0.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
kerby-pkix,1.0.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
kerby-util,1.0.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
