LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
joda-time,2.8.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
joda-time,2.9.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jopt-simple,5.0.4,MIT,http://opensource.org/licenses/mit-license,"",""
json,20160212,The JSON License,"","",""
json-path,3.0.3,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
json4s-ast_2.11,3.2.11,ASL,"","",""
json4s-core_2.11,3.2.11,ASL,"","",""
json4s-jackson_2.11,3.2.11,ASL,"","",""
jsr166e,1.1.0,CC0 1.0 Universal,"","",""
jsr305,1.3.9,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jsr305,3.0.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jul-to-slf4j,1.7.16,MIT,http://opensource.org/licenses/mit-license,"",""
jul-to-slf4j,1.7.24,MIT,http://opensource.org/licenses/mit-license,"",""
junit,4.12,Eclipse Public License 1.0,"","",""
kafka-clients,0.8.2.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
kafka_2.11,0.8.2.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
kryo-shaded,3.0.3,New BSD License,"","",""
leveldbjni-all,1.8,The BSD 3-Clause License,"","",""
log4j,1.2.17,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
log4j-api,2.8,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
log4j-core,2.8,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
log4j-over-slf4j,1.7.24,Apache Software Licenses,"","",""
logback-access,1.2.1,"Eclipse Public License - v 1.0,GNU Lesser General Public License",",","",""
logback-classic,1.2.1,"Eclipse Public License - v 1.0,GNU Lesser General Public License",",","",""
logback-core,1.2.1,"Eclipse Public License - v 1.0,GNU Lesser General Public License",",","",""
lz4,1.3.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
metrics-annotation,3.2.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
metrics-core,2.2.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
metrics-core,3.1.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
metrics-core,3.2.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
metrics-graphite,3.1.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
metrics-healthchecks,3.2.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
metrics-jersey2,3.2.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
metrics-jetty9,3.2.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
metrics-json,3.1.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
metrics-json,3.2.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
metrics-jvm,3.1.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
metrics-jvm,3.2.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
metrics-logback,3.2.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
metrics-servlets,3.2.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
mimepull,1.9.6,"CDDL 1.1,GPL2 w/ CPE",",","",""
minlog,1.3.0,New BSD License,"","",""
netty,3.8.0.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
netty-all,4.0.42.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
netty-buffer,4.0.37.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
netty-buffer,4.0.47.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
netty-codec,4.0.37.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
netty-codec,4.0.47.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
netty-common,4.0.37.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
netty-common,4.0.47.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
netty-handler,4.0.37.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
netty-handler,4.0.47.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
netty-transport,4.0.37.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
netty-transport,4.0.47.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
objenesis,2.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
oro,2.0.8,unknown,"","",""
osgi-resource-locator,1.0.1,CDDL + GPLv2 with classpath exception,"","",""
paranamer,2.6,BSD,http://en.wikipedia.org/wiki/BSD_licenses#4-clause_license_.28original_.22BSD_License.22.29,"",""
parquet-column,1.8.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
parquet-common,1.8.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
parquet-encoding,1.8.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
parquet-format,2.3.0-incubating,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
parquet-hadoop,1.8.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
parquet-jackson,1.8.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
profiler,1.0.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
protobuf-java,2.5.0,New BSD license,"","",""
py4j,0.10.4,The New BSD License,"","",""
pyrolite,4.13,MIT,http://opensource.org/licenses/mit-license,"",""
reflections,0.9.11,"WTFPL,The New BSD License",",","",""
rest-assured,3.0.3,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
rest-assured-common,3.0.3,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
scala-compiler,2.11.0,BSD 3-Clause,"","",""
scala-library,2.11.8,BSD 3-Clause,"","",""
scala-parser-combinators_2.11,1.0.2,BSD 3-clause,"","",""
scala-reflect,2.11.8,BSD 3-Clause,"","",""
scala-xml_2.11,1.0.2,BSD 3-clause,"","",""
scalap,2.11.0,BSD 3-Clause,"","",""
slf4j-api,1.7.21,MIT,http://opensource.org/licenses/mit-license,"",""
